filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
3321.ps1,malicious,malicious,BLOCK,BLOCK,5.6640625,True,2527,
3943.ps1,malicious,malicious,BLOCK,BLOCK,6.21875,True,2941,
1269.ps1,malicious,malicious,BLOCK,BLOCK,10.625,True,139,
1399.ps1,malicious,malicious,BLOCK,BLOCK,7.171875,True,140,
1693.ps1,malicious,malicious,BLOCK,BLOCK,12.703125,True,141,
179.ps1,malicious,malicious,BLOCK,BLOCK,10.71875,True,141,
450.ps1,malicious,malicious,BLOCK,BLOCK,3.3125,True,75,
3062.ps1,malicious,malicious,BLOCK,BLOCK,6.9609375,True,78,
338.ps1,malicious,malicious,BLOCK,BLOCK,7.640625,True,78,
3100.ps1,malicious,malicious,BLOCK,BLOCK,2.4453125,True,81,
3537.ps1,malicious,malicious,BLOCK,BLOCK,1.5078125,True,282,
3537.ps1,malicious,malicious,BLOCK,BLOCK,1.5078125,True,282,
3780.ps1,malicious,malicious,BLOCK,BLOCK,1.2734375,True,499,
3780.ps1,malicious,malicious,BLOCK,BLOCK,1.2734375,True,499,
784.ps1,malicious,malicious,BLOCK,BLOCK,2.734375,True,73,
784.ps1,malicious,malicious,BLOCK,BLOCK,2.734375,True,73,
2115.ps1,malicious,malicious,BLOCK,BLOCK,2.6875,True,78,
2115.ps1,malicious,malicious,BLOCK,BLOCK,2.6875,True,78,
2019.ps1,malicious,malicious,BLOCK,BLOCK,0.7734375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,0.7734375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,0.7734375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,0.7734375,True,1173,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.234375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.234375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.234375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.234375,True,80,
